/初期x座標,初期y座標,半径,カウント,角度,速度,フラグ最大数,左右判定フラグ,目標x座標,目標ｙ座標,目標位置半径,,角度配列,カウントフラグ,角度配列,カウントフラグ,角度配列,カウントフラグ
/pos.x,pos.y,r,count,angle,speed,maxmove,Rlflag,target.x,target.y,targetr,wave,moveangle,countflag,moveangle,countflag,moveangle,countflag
400,-50,5,0,1.745514,3,3,0,288,64,1,1,0.5,100,0,20,-2.5,90
400,-50,5,-20,1.745514,3,3,0,320,64,1,1,0.5,100,0,20,-2.5,90
400,-50,5,-40,1.745514,3,3,0,288,96,1,1,0.5,100,0,20,-2.5,90
400,-50,5,-60,1.745514,3,3,0,320,96,1,1,0.5,100,0,20,-2.5,90
240,-50,5,0,1.396231,3,3,0,288,128,1,1,-0.5,100,0,20,2.5,90
240,-50,5,-20,1.396231,3,3,0,320,128,1,1,-0.5,100,0,20,2.5,90
240,-50,5,-40,1.396231,3,3,0,288,160,1,1,-0.5,100,0,20,2.5,90
240,-50,5,-60,1.396231,3,3,0,320,160,1,1,-0.5,100,0,20,2.5,90
400,-50,5,0,1.745514,3,3,0,256,64,1,2,0.5,100,0,20,-2.5,90
400,-50,5,-20,1.745514,3,3,0,320,64,1,2,0.5,100,0,20,-2.5,90
400,-50,5,-40,1.745514,3,3,0,288,96,1,2,0.5,100,0,20,-2.5,90
400,-50,5,-60,1.745514,3,3,0,320,96,1,2,0.5,100,0,20,-2.5,90
240,-50,5,0,1.396231,3,3,0,288,128,1,2,-0.5,100,0,20,2.5,90
240,-50,5,-20,1.396231,3,3,0,320,128,1,2,-0.5,100,0,20,2.5,90
240,-50,5,-40,1.396231,3,3,0,288,160,1,2,-0.5,100,0,20,2.5,90
240,-50,5,-60,1.396231,3,3,0,320,160,1,2,-0.5,100,0,20,2.5,90
400,-50,5,0,1.745514,3,3,0,288,64,1,3,0.5,100,0,20,-2.5,90
400,-50,5,-20,1.745514,3,3,0,320,64,1,3,0.5,100,0,20,-2.5,90
400,-50,5,-40,1.745514,3,3,0,288,96,1,3,0.5,100,0,20,-2.5,90
400,-50,5,-60,1.745514,3,3,0,320,96,1,3,0.5,100,0,20,-2.5,90
240,-50,5,0,1.396231,3,3,0,288,128,1,3,-0.5,100,0,20,2.5,90
240,-50,5,-20,1.396231,3,3,0,320,128,1,3,-0.5,100,0,20,2.5,90
240,-50,5,-40,1.396231,3,3,0,288,160,1,3,-0.5,100,0,20,2.5,90
240,-50,5,-60,1.396231,3,3,0,320,160,1,3,-0.5,100,0,20,2.5,90
400,-50,5,0,1.745514,3,3,0,288,64,1,4,0.5,100,0,20,-2.5,90
400,-50,5,-20,1.745514,3,3,0,320,64,1,4,0.5,100,0,20,-2.5,90
400,-50,5,-40,1.745514,3,3,0,288,96,1,4,0.5,100,0,20,-2.5,90
400,-50,5,-60,1.745514,3,3,0,320,96,1,4,0.5,100,0,20,-2.5,90
240,-50,5,0,1.396231,3,3,0,288,128,1,4,-0.5,100,0,20,2.5,90
240,-50,5,-20,1.396231,3,3,0,320,128,1,4,-0.5,100,0,20,2.5,90
240,-50,5,-40,1.396231,3,3,0,288,160,1,4,-0.5,100,0,20,2.5,90
240,-50,5,-60,1.396231,3,3,0,320,160,1,4,-0.5,100,0,20,2.5,90
